Split,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,Year,Player
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Mark Melancon
None On,143,1,35,3,0,1,1,10,0,39,0,0,.245,.294,.287,.581,2019,Mark Melancon
Runners On,120,27,36,6,1,3,25,8,2,29,2,0,.300,.351,.442,.793,2019,Mark Melancon
Scoring Position,61,23,19,4,0,2,21,6,1,13,1,0,.311,.377,.475,.852,2019,Mark Melancon
Bases Loaded,9,7,4,1,0,0,5,0,0,3,0,0,.444,.444,.556,1.000,2019,Mark Melancon
"Scoring Position, 2 out",24,4,4,1,0,0,3,3,1,4,1,0,.167,.286,.208,.494,2019,Mark Melancon
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Mark Melancon
1st Time Faced In Game,262,28,71,9,1,4,26,18,2,68,2,0,.271,.322,.359,.680,2019,Mark Melancon
3rd Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2019,Mark Melancon
4th+ Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2019,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Mark Melancon
As Reliever,263,28,71,9,1,4,26,18,2,68,3,0,.270,.320,.357,.678,2019,Mark Melancon
All Splits,3.23,1,4,3,7,41,0,0,39.0,48,18,14,2,14,31,.302,2018,Mark Melancon
Home,2.11,1,2,3,4,22,0,0,21.1,24,9,5,0,5,18,.276,2018,Mark Melancon
Away,4.58,0,2,0,3,19,0,0,17.2,24,9,9,2,9,13,.333,2018,Mark Melancon
Day,3.14,0,2,2,3,16,0,0,14.1,13,5,5,2,6,12,.245,2018,Mark Melancon
Night,3.28,1,2,1,4,25,0,0,24.2,35,13,9,0,8,19,.330,2018,Mark Melancon
June,2.61,0,0,1,3,11,0,0,10.1,10,3,3,0,3,8,.256,2018,Mark Melancon
July,4.82,0,1,0,2,10,0,0,9.1,13,5,5,1,4,7,.333,2018,Mark Melancon
August,1.00,0,0,2,2,9,0,0,9.0,11,5,1,0,1,9,.289,2018,Mark Melancon
September,4.35,1,3,0,0,11,0,0,10.1,14,5,5,1,6,7,.326,2018,Mark Melancon
Last 30 Days,3.00,1,1,0,0,2,0,0,3.0,5,1,1,0,1,1,.385,2018,Mark Melancon
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2018,Mark Melancon
vs. ATL,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,.000,2018,Mark Melancon
vs. CHC,0.00,0,0,0,0,2,0,0,2.0,0,0,0,0,0,2,.000,2018,Mark Melancon
vs. CIN,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,0,1,.250,2018,Mark Melancon
vs. COL,2.45,0,0,0,1,4,0,0,3.2,5,1,1,0,0,5,.333,2018,Mark Melancon
vs. LAD,3.38,0,1,0,0,3,0,0,2.2,4,1,1,0,1,3,.333,2018,Mark Melancon
vs. MIA,4.50,0,0,0,1,2,0,0,2.0,2,1,1,0,1,0,.286,2018,Mark Melancon
vs. MIL,10.13,0,1,0,0,3,0,0,2.2,6,3,3,0,3,1,.462,2018,Mark Melancon
vs. OAK,3.00,0,0,0,1,3,0,0,3.0,3,1,1,1,2,1,.273,2018,Mark Melancon
vs. PHI,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,3,.000,2018,Mark Melancon
vs. PIT,0.00,0,0,0,0,1,0,0,0.2,2,4,0,0,0,0,.333,2018,Mark Melancon
vs. SD,1.50,1,0,1,2,6,0,0,6.0,10,1,1,0,4,4,.400,2018,Mark Melancon
vs. STL,11.57,0,2,0,0,3,0,0,2.1,2,3,3,1,2,2,.222,2018,Mark Melancon
Batting #9,16,2,3,0,0,1,2,2,0,4,0,0,.188,.278,.375,.653,2018,Mark Melancon
Scoring Position,44,12,13,1,1,0,12,4,1,8,0,0,.295,.367,.364,.731,2018,Mark Melancon
Bases Loaded,3,1,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,2018,Mark Melancon
"Scoring Position, 2 out",24,7,7,1,1,0,7,2,0,6,1,0,.292,.346,.417,.763,2018,Mark Melancon
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2018,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2018,Mark Melancon
As Reliever,159,18,48,9,1,2,16,14,1,31,1,3,.302,.362,.409,.771,2018,Mark Melancon
All Splits,4.50,1,2,11,16,32,0,0,30.0,37,16,15,3,6,29,.301,2017,Mark Melancon
Home,2.20,0,0,4,6,17,0,0,16.1,12,5,4,1,3,18,.203,2017,Mark Melancon
Away,7.24,1,2,7,10,15,0,0,13.2,25,11,11,2,3,11,.391,2017,Mark Melancon
Day,8.10,1,2,2,6,11,0,0,10.0,17,10,9,3,3,13,.378,2017,Mark Melancon
Night,2.70,0,0,9,10,21,0,0,20.0,20,6,6,0,3,16,.256,2017,Mark Melancon
April,2.79,0,1,5,7,10,0,0,9.2,11,4,3,1,1,10,.289,2017,Mark Melancon
May,1.59,0,0,5,5,6,0,0,5.2,6,1,1,0,0,4,.273,2017,Mark Melancon
June,10.13,1,1,1,3,6,0,0,5.1,8,6,6,2,2,5,.333,2017,Mark Melancon
August,2.70,0,0,0,0,7,0,0,6.2,7,2,2,0,2,7,.269,2017,Mark Melancon
September,10.13,0,0,0,1,3,0,0,2.2,5,3,3,0,1,3,.385,2017,Mark Melancon
Last 7 Days,---,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,.000,2017,Mark Melancon
vs. ARI,10.80,0,1,1,2,2,0,0,1.2,5,2,2,0,0,1,.500,2017,Mark Melancon
vs. ATL,0.00,0,0,2,2,2,0,0,1.2,0,0,0,0,0,1,.000,2017,Mark Melancon
vs. CHC,0.00,0,0,1,1,1,0,0,1.0,1,0,0,0,0,1,.250,2017,Mark Melancon
vs. COL,13.50,0,1,0,1,5,0,0,4.0,7,6,6,1,1,7,.368,2017,Mark Melancon
vs. KC,0.00,0,0,1,1,1,0,0,1.0,2,0,0,0,0,3,.400,2017,Mark Melancon
vs. LAD,0.00,0,0,2,2,4,0,0,4.0,3,0,0,0,0,3,.214,2017,Mark Melancon
vs. MIA,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,.250,2017,Mark Melancon
vs. NYM,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,1,1,.250,2017,Mark Melancon
vs. PHI,0.00,0,0,0,0,2,0,0,2.0,3,0,0,0,0,2,.375,2017,Mark Melancon
vs. SD,3.00,0,0,2,3,3,0,0,3.0,3,2,1,1,1,1,.273,2017,Mark Melancon
vs. STL,9.82,0,0,2,3,4,0,0,3.2,7,4,4,0,2,0,.412,2017,Mark Melancon
vs. WSH,0.00,0,0,0,0,2,0,0,2.0,1,0,0,0,0,3,.143,2017,Mark Melancon
Runners On,53,15,17,3,1,2,15,4,1,12,1,0,.321,.379,.528,.908,2017,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2017,Mark Melancon
As Reliever,123,16,37,8,1,3,16,6,1,29,1,0,.301,.338,.455,.794,2017,Mark Melancon
All Splits,1.64,2,2,47,51,75,0,0,71.1,52,16,13,3,12,65,.204,2016,Mark Melancon
Home,1.76,2,2,29,30,45,0,0,41.0,31,11,8,1,6,37,.211,2016,Mark Melancon
Away,1.48,0,0,18,21,30,0,0,30.1,21,5,5,2,6,28,.194,2016,Mark Melancon
Day,2.88,0,1,16,18,26,0,0,25.0,21,11,8,2,3,22,.231,2016,Mark Melancon
Night,0.97,2,1,31,33,49,0,0,46.1,31,5,5,1,9,43,.189,2016,Mark Melancon
April,2.61,0,0,7,8,12,0,0,10.1,9,3,3,1,2,10,.231,2016,Mark Melancon
May,1.64,0,1,9,9,12,0,0,11.0,13,5,2,0,3,6,.295,2016,Mark Melancon
June,0.00,0,0,6,6,9,0,0,9.0,2,0,0,0,3,8,.074,2016,Mark Melancon
July,1.59,1,0,8,10,12,0,0,11.1,7,2,2,1,1,14,.171,2016,Mark Melancon
August,0.66,0,0,7,7,15,0,0,13.2,8,1,1,0,2,14,.170,2016,Mark Melancon
September,3.29,1,1,8,9,13,0,0,13.2,12,5,5,1,1,12,.240,2016,Mark Melancon
Last 7 Days,0.00,0,0,4,4,4,0,0,4.0,1,0,0,0,0,3,.083,2016,Mark Melancon
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2016,Mark Melancon
vs. ARI,2.25,0,0,4,5,8,0,0,8.0,9,2,2,1,0,8,.273,2016,Mark Melancon
vs. ATL,4.91,0,0,6,6,8,0,0,7.1,12,4,4,0,0,4,.387,2016,Mark Melancon
vs. BAL,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,.250,2016,Mark Melancon
vs. CHC,4.15,0,0,2,2,5,0,0,4.1,3,2,2,0,2,2,.200,2016,Mark Melancon
vs. CIN,0.00,0,0,4,4,4,0,0,2.2,1,0,0,0,1,2,.111,2016,Mark Melancon
vs. COL,0.00,0,1,4,4,7,0,0,5.2,5,3,0,0,4,5,.227,2016,Mark Melancon
vs. DET,0.00,0,0,1,1,1,0,0,1.0,1,0,0,0,0,1,.333,2016,Mark Melancon
vs. LAA,0.00,0,0,1,1,1,0,0,1.0,0,0,0,0,0,0,.000,2016,Mark Melancon
vs. LAD,0.00,0,0,2,2,2,0,0,2.0,1,0,0,0,0,2,.167,2016,Mark Melancon
vs. MIA,0.00,0,0,2,2,4,0,0,4.1,1,0,0,0,0,3,.077,2016,Mark Melancon
Batting #1,25,1,4,0,0,0,3,4,0,3,0,0,.160,.276,.160,.436,2016,Mark Melancon
Batting #5,32,1,7,2,0,0,1,0,0,7,1,0,.219,.219,.281,.500,2016,Mark Melancon
Batting #6,36,2,6,1,0,1,2,1,0,9,0,0,.167,.189,.278,.467,2016,Mark Melancon
Batting #7,31,1,5,1,0,0,2,2,1,9,0,0,.161,.229,.194,.422,2016,Mark Melancon
Batting #8,35,3,6,2,0,0,4,2,0,9,0,0,.171,.216,.229,.445,2016,Mark Melancon
Scoring Position,52,10,11,1,0,0,14,3,0,11,0,0,.212,.246,.231,.476,2016,Mark Melancon
Bases Loaded,2,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,2016,Mark Melancon
"Scoring Position, 2 out",29,4,6,0,0,0,6,1,0,6,0,0,.207,.233,.207,.440,2016,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2016,Mark Melancon
As Reliever,255,16,52,8,0,3,19,12,1,65,2,0,.204,.241,.271,.511,2016,Mark Melancon
All Splits,2.23,3,2,51,53,78,0,0,76.2,57,22,19,4,14,62,.207,2015,Mark Melancon
Home,2.79,2,2,26,28,43,0,0,42.0,33,15,13,3,7,35,.213,2015,Mark Melancon
Away,1.56,1,0,25,25,35,0,0,34.2,24,7,6,1,7,27,.200,2015,Mark Melancon
Day,1.93,1,0,17,17,24,0,0,23.1,18,5,5,1,3,23,.207,2015,Mark Melancon
Night,2.36,2,2,34,36,54,0,0,53.1,39,17,14,3,11,39,.207,2015,Mark Melancon
April,5.23,0,1,5,6,11,0,0,10.1,11,6,6,1,4,7,.289,2015,Mark Melancon
May,0.71,0,0,8,8,12,0,0,12.2,11,1,1,1,1,5,.224,2015,Mark Melancon
June,0.00,1,0,11,11,15,0,0,14.2,8,1,0,0,2,14,.157,2015,Mark Melancon
July,0.00,1,0,9,9,11,0,0,11.0,7,0,0,0,4,7,.200,2015,Mark Melancon
August,3.14,1,0,10,11,15,0,0,14.1,13,7,5,1,1,11,.241,2015,Mark Melancon
September,5.40,0,1,8,8,12,0,0,11.2,7,7,7,1,2,16,.167,2015,Mark Melancon
Last 7 Days,9.00,0,1,0,0,3,0,0,3.0,3,3,3,1,0,4,.250,2015,Mark Melancon
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2015,Mark Melancon
vs. ARI,0.00,0,0,3,4,4,0,0,4.0,3,2,0,0,1,4,.188,2015,Mark Melancon
vs. ATL,0.00,1,0,2,2,3,0,0,3.0,2,1,0,0,1,3,.182,2015,Mark Melancon
vs. CHC,4.50,0,1,5,6,9,0,0,10.0,12,5,5,0,3,14,.286,2015,Mark Melancon
vs. CHW,0.00,0,0,3,3,3,0,0,3.0,0,0,0,0,0,3,.000,2015,Mark Melancon
vs. CIN,3.00,0,0,3,3,10,0,0,9.0,9,3,3,0,3,9,.273,2015,Mark Melancon
vs. COL,4.50,0,0,4,4,4,0,0,4.0,3,2,2,1,0,3,.214,2015,Mark Melancon
vs. DET,8.10,0,0,1,1,4,0,0,3.1,5,3,3,1,1,3,.385,2015,Mark Melancon
vs. KC,0.00,0,0,1,1,1,0,0,1.0,0,0,0,0,1,1,.000,2015,Mark Melancon
vs. LAD,2.25,0,0,3,3,4,0,0,4.0,2,1,1,0,1,3,.143,2015,Mark Melancon
vs. MIA,0.00,0,0,4,4,4,0,0,4.0,2,0,0,0,0,0,.154,2015,Mark Melancon
Count 3-0,0,0,0,0,0,0,0,3,0,0,0,0,.000,1.000,.000,1.000,2015,Mark Melancon
Batting #1,21,0,4,1,0,0,0,3,0,6,0,0,.190,.292,.238,.530,2015,Mark Melancon
Batting #2,24,4,6,1,0,0,1,0,0,4,0,0,.250,.240,.292,.532,2015,Mark Melancon
Batting #3,28,5,7,2,0,1,4,2,0,4,0,0,.250,.300,.429,.729,2015,Mark Melancon
Batting #4,31,3,5,2,0,1,3,3,1,8,0,0,.161,.257,.323,.580,2015,Mark Melancon
Batting #9,29,2,1,0,0,0,3,0,0,7,0,0,.034,.034,.034,.069,2015,Mark Melancon
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2015,Mark Melancon
None On,172,1,35,5,0,1,1,8,1,39,0,0,.203,.243,.250,.493,2015,Mark Melancon
Runners On,103,21,22,4,1,3,19,6,1,23,0,2,.214,.261,.359,.620,2015,Mark Melancon
Scoring Position,52,17,9,1,1,2,16,5,1,12,0,0,.173,.254,.346,.600,2015,Mark Melancon
Bases Loaded,3,2,1,0,0,0,3,0,0,0,0,0,.333,.333,.333,.667,2015,Mark Melancon
"Scoring Position, 2 out",23,4,0,0,0,0,0,2,0,6,0,0,.000,.080,.000,.080,2015,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2015,Mark Melancon
As Reliever,275,22,57,9,1,4,20,14,2,62,0,2,.207,.250,.291,.541,2015,Mark Melancon
All Splits,1.90,3,5,33,37,72,0,0,71.0,51,15,15,2,11,71,.195,2014,Mark Melancon
Home,0.89,2,1,20,21,41,0,0,40.1,27,4,4,1,4,33,.186,2014,Mark Melancon
Away,3.23,1,4,13,16,31,0,0,30.2,24,11,11,1,7,38,.207,2014,Mark Melancon
Day,2.66,1,3,10,11,24,0,0,23.2,16,7,7,2,4,23,.190,2014,Mark Melancon
Night,1.52,2,2,23,26,48,0,0,47.1,35,8,8,0,7,48,.198,2014,Mark Melancon
March,0.00,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,.333,2014,Mark Melancon
April,1.64,0,1,0,0,11,0,0,11.0,6,2,2,0,1,9,.158,2014,Mark Melancon
May,3.21,1,1,10,12,15,0,0,14.0,12,5,5,1,4,11,.218,2014,Mark Melancon
June,2.13,0,0,5,6,14,0,0,12.2,9,3,3,0,1,13,.191,2014,Mark Melancon
July,1.13,0,0,5,5,8,0,0,8.0,6,1,1,1,0,11,.200,2014,Mark Melancon
August,1.69,1,1,6,7,11,0,0,10.2,8,2,2,0,3,10,.205,2014,Mark Melancon
Last 7 Days,0.00,0,0,1,1,1,0,0,1.0,0,0,0,0,0,1,.000,2014,Mark Melancon
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2014,Mark Melancon
vs. ARI,5.40,0,1,0,0,2,0,0,1.2,3,1,1,0,1,1,.375,2014,Mark Melancon
vs. ATL,0.00,1,0,1,1,2,0,0,2.0,0,0,0,0,0,3,.000,2014,Mark Melancon
vs. BAL,0.00,0,0,1,1,1,0,0,1.0,0,0,0,0,0,2,.000,2014,Mark Melancon
vs. BOS,0.00,0,0,1,1,2,0,0,2.0,3,0,0,0,0,2,.375,2014,Mark Melancon
vs. CHC,1.64,1,0,2,2,10,0,0,11.0,6,2,2,0,0,15,.158,2014,Mark Melancon
vs. COL,0.00,0,0,3,3,4,0,0,4.0,1,0,0,0,0,5,.077,2014,Mark Melancon
vs. DET,0.00,0,0,1,1,1,0,0,1.0,2,0,0,0,0,0,.400,2014,Mark Melancon
vs. LAD,3.00,0,0,0,0,3,0,0,3.0,2,1,1,0,0,3,.182,2014,Mark Melancon
vs. MIA,0.00,0,0,0,1,2,0,0,1.1,1,0,0,0,1,1,.200,2014,Mark Melancon
vs. MIL,4.50,0,3,2,3,9,0,0,8.0,9,4,4,0,3,6,.290,2014,Mark Melancon
Count 3-0,1,0,0,0,0,0,0,4,0,0,0,0,.000,.800,.000,.800,2014,Mark Melancon
Batting #1,21,0,5,1,0,0,0,1,0,3,0,0,.238,.273,.286,.558,2014,Mark Melancon
Batting #2,25,1,5,0,0,0,1,0,0,9,0,0,.200,.200,.200,.400,2014,Mark Melancon
Batting #3,29,3,7,0,0,0,3,0,1,5,0,0,.241,.267,.241,.508,2014,Mark Melancon
Batting #4,29,1,4,0,0,0,2,2,2,8,0,0,.138,.242,.138,.380,2014,Mark Melancon
Batting #9,20,2,3,1,0,0,2,1,0,6,0,0,.150,.182,.200,.382,2014,Mark Melancon
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2014,Mark Melancon
None On,164,2,28,4,0,2,2,5,1,52,0,0,.171,.200,.232,.432,2014,Mark Melancon
Runners On,97,13,23,1,0,0,15,6,2,19,1,1,.237,.292,.247,.540,2014,Mark Melancon
Scoring Position,52,13,10,0,0,0,15,5,1,12,0,0,.192,.271,.192,.463,2014,Mark Melancon
Bases Loaded,3,4,1,0,0,0,5,1,0,1,0,0,.333,.400,.333,.733,2014,Mark Melancon
"Scoring Position, 2 out",27,3,3,0,0,0,4,2,0,7,0,0,.111,.172,.111,.284,2014,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2014,Mark Melancon
As Reliever,261,15,51,5,0,2,17,11,3,71,1,1,.195,.236,.238,.473,2014,Mark Melancon
All Splits,1.39,3,2,16,21,72,0,0,71.0,60,15,11,1,8,70,.223,2013,Mark Melancon
Home,0.93,0,1,7,10,39,0,0,38.2,28,7,4,1,1,38,.192,2013,Mark Melancon
Away,1.95,3,1,9,11,33,0,0,32.1,32,8,7,0,7,32,.260,2013,Mark Melancon
Day,1.13,1,0,3,3,24,0,0,24.0,13,3,3,1,4,24,.157,2013,Mark Melancon
Night,1.53,2,2,13,18,48,0,0,47.0,47,12,8,0,4,46,.253,2013,Mark Melancon
April,0.64,0,0,0,0,14,0,0,14.0,8,1,1,1,0,12,.163,2013,Mark Melancon
May,1.20,1,0,1,2,15,0,0,15.0,13,2,2,0,2,17,.224,2013,Mark Melancon
June,0.79,1,1,1,1,12,0,0,11.1,9,1,1,0,2,14,.205,2013,Mark Melancon
July,0.82,0,0,3,3,11,0,0,11.0,5,1,1,0,3,6,.143,2013,Mark Melancon
August,1.00,0,0,4,5,9,0,0,9.0,8,2,1,0,1,8,.250,2013,Mark Melancon
September,4.22,1,1,7,10,11,0,0,10.2,17,8,5,0,0,13,.333,2013,Mark Melancon
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2013,Mark Melancon
vs. ARI,0.00,0,0,0,0,4,0,0,4.0,1,0,0,0,0,4,.083,2013,Mark Melancon
vs. ATL,3.86,0,1,0,0,3,0,0,2.1,2,1,1,0,1,2,.222,2013,Mark Melancon
vs. CHC,0.90,1,0,4,5,10,0,0,10.0,6,1,1,0,0,11,.154,2013,Mark Melancon
vs. CIN,1.86,0,0,0,1,10,0,0,9.2,8,5,2,1,3,10,.216,2013,Mark Melancon
vs. COL,0.00,0,0,1,1,1,0,0,1.0,0,0,0,0,0,0,.000,2013,Mark Melancon
vs. DET,0.00,1,0,0,0,2,0,0,2.0,1,0,0,0,1,2,.143,2013,Mark Melancon
vs. LAA,0.00,1,0,0,0,1,0,0,1.0,0,0,0,0,0,1,.000,2013,Mark Melancon
vs. LAD,0.00,0,0,0,0,4,0,0,4.0,4,0,0,0,0,3,.267,2013,Mark Melancon
vs. MIA,0.00,0,0,2,2,3,0,0,3.0,2,0,0,0,1,3,.222,2013,Mark Melancon
vs. MIL,1.00,0,0,2,2,9,0,0,9.0,6,1,1,0,0,9,.182,2013,Mark Melancon
vs. NYM,0.00,0,0,0,0,4,0,0,4.0,3,0,0,0,1,5,.200,2013,Mark Melancon
Count 3-1,4,1,1,0,0,0,1,2,0,0,0,0,.250,.500,.250,.750,2013,Mark Melancon
Batting #2,30,0,9,1,0,0,0,2,0,9,0,0,.300,.344,.333,.677,2013,Mark Melancon
Batting #3,34,4,11,0,0,1,3,1,0,7,0,0,.324,.343,.412,.755,2013,Mark Melancon
Batting #4,35,0,7,1,0,0,0,0,0,9,1,0,.200,.200,.229,.429,2013,Mark Melancon
Batting #5,36,1,6,0,1,0,1,0,0,5,0,0,.167,.167,.222,.389,2013,Mark Melancon
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2013,Mark Melancon
None On,167,1,35,3,1,1,1,3,0,46,0,0,.210,.224,.257,.481,2013,Mark Melancon
Runners On,102,14,25,3,0,0,12,5,1,24,3,0,.245,.284,.275,.559,2013,Mark Melancon
Scoring Position,50,13,10,1,0,0,11,5,0,13,2,0,.200,.268,.220,.488,2013,Mark Melancon
Bases Loaded,2,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2013,Mark Melancon
"Scoring Position, 2 out",30,8,7,0,0,0,7,2,0,8,1,0,.233,.281,.233,.515,2013,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2013,Mark Melancon
As Reliever,269,15,60,6,1,1,13,8,1,70,3,0,.223,.247,.264,.511,2013,Mark Melancon
All Splits,6.20,0,2,1,2,41,0,0,45.0,45,31,31,8,12,41,.256,2012,Mark Melancon
Home,5.33,0,0,1,1,24,0,0,27.0,28,16,16,4,9,28,.259,2012,Mark Melancon
Away,7.50,0,2,0,1,17,0,0,18.0,17,15,15,4,3,13,.250,2012,Mark Melancon
Day,6.94,0,2,1,2,12,0,0,11.2,15,9,9,2,1,9,.319,2012,Mark Melancon
Night,5.94,0,0,0,0,29,0,0,33.1,30,22,22,6,11,32,.233,2012,Mark Melancon
April,49.50,0,2,0,1,4,0,0,2.0,10,11,11,5,2,1,.667,2012,Mark Melancon
June,1.17,0,0,0,0,8,0,0,7.2,6,1,1,0,2,5,.214,2012,Mark Melancon
July,6.57,0,0,0,0,10,0,0,12.1,11,9,9,1,3,10,.239,2012,Mark Melancon
August,6.23,0,0,1,1,11,0,0,13.0,14,9,9,2,4,12,.269,2012,Mark Melancon
September,1.08,0,0,0,0,7,0,0,8.1,4,1,1,0,1,12,.133,2012,Mark Melancon
October,0.00,0,0,0,0,1,0,0,1.2,0,0,0,0,0,1,.000,2012,Mark Melancon
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2012,Mark Melancon
vs. ATL,3.38,0,0,0,0,2,0,0,2.2,4,1,1,0,1,2,.333,2012,Mark Melancon
vs. BAL,2.08,0,0,0,0,3,0,0,4.1,2,1,1,1,0,6,.133,2012,Mark Melancon
vs. CHC,0.00,0,0,0,0,2,0,0,1.1,0,0,0,0,1,1,.000,2012,Mark Melancon
vs. CHW,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,.000,2012,Mark Melancon
vs. CLE,6.75,0,0,0,0,1,0,0,1.1,2,1,1,0,0,0,.400,2012,Mark Melancon
vs. DET,21.60,0,2,0,1,3,0,0,1.2,5,4,4,1,1,0,.556,2012,Mark Melancon
vs. LAA,0.00,0,0,0,0,2,0,0,3.0,1,0,0,0,1,2,.100,2012,Mark Melancon
vs. MIA,0.00,0,0,0,0,2,0,0,2.0,0,0,0,0,0,1,.000,2012,Mark Melancon
vs. MIN,0.00,0,0,0,0,2,0,0,2.2,2,0,0,0,0,3,.200,2012,Mark Melancon
vs. NYY,4.91,0,0,0,0,5,0,0,7.1,4,4,4,1,2,6,.148,2012,Mark Melancon
vs. OAK,9.82,0,0,0,0,3,0,0,3.2,4,4,4,1,1,3,.267,2012,Mark Melancon
Batting #9,19,2,7,3,0,0,3,0,1,4,0,0,.368,.400,.526,.926,2012,Mark Melancon
Scoring Position,39,25,14,3,0,4,28,5,1,5,0,0,.359,.426,.744,1.169,2012,Mark Melancon
Bases Loaded,6,12,4,0,0,2,11,0,0,0,0,0,.667,.667,1.667,2.333,2012,Mark Melancon
"Scoring Position, 2 out",17,7,5,1,0,1,8,1,0,3,0,0,.294,.333,.529,.863,2012,Mark Melancon
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2012,Mark Melancon
All Splits,2.78,8,4,20,25,71,0,0,74.1,65,28,23,5,26,66,.234,2011,Mark Melancon
Home,3.26,5,4,9,11,37,0,0,38.2,34,18,14,2,13,28,.234,2011,Mark Melancon
Away,2.27,3,0,11,14,34,0,0,35.2,31,10,9,3,13,38,.233,2011,Mark Melancon
Day,4.71,3,4,4,8,27,0,0,28.2,32,20,15,3,11,29,.271,2011,Mark Melancon
Night,1.58,5,0,16,17,44,0,0,45.2,33,8,8,2,15,37,.206,2011,Mark Melancon
April,1.98,2,1,0,1,15,0,0,13.2,13,5,3,0,6,10,.250,2011,Mark Melancon
May,2.13,2,0,3,4,13,0,0,12.2,9,3,3,1,1,10,.200,2011,Mark Melancon
June,5.40,1,0,3,4,11,0,0,11.2,16,8,7,2,6,13,.320,2011,Mark Melancon
July,3.18,0,2,4,4,10,0,0,11.1,7,6,4,0,6,8,.171,2011,Mark Melancon
August,3.68,2,1,6,8,13,0,0,14.2,17,6,6,2,5,12,.298,2011,Mark Melancon
September,0.00,1,0,4,4,9,0,0,10.1,3,0,0,0,2,13,.091,2011,Mark Melancon
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2011,Mark Melancon
vs. ARI,18.00,0,0,0,1,1,0,0,1.0,2,2,2,1,0,2,.400,2011,Mark Melancon
vs. ATL,3.00,0,0,0,1,3,0,0,3.0,3,1,1,1,0,3,.273,2011,Mark Melancon
vs. BOS,9.00,0,1,0,0,1,0,0,1.0,1,1,1,0,3,0,.250,2011,Mark Melancon
vs. CHC,0.96,0,0,3,3,9,0,0,9.1,4,1,1,0,1,11,.125,2011,Mark Melancon
vs. CIN,1.00,2,0,2,2,9,0,0,9.0,6,1,1,0,1,6,.188,2011,Mark Melancon
